Employee_id,Age,Gender,Department,JobRole,Attrition,DistanceFromHome,JobLevel,JobInvolvement,MonthlyIncome,OverTime,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,FirstName,LastName
1,41,Female,Sales,Sales Executive,Yes,1,2,3,5993,Yes,0,8,0,6,4,5,Princess,Wilkinson
2,49,Male,Research & Development,Research Scientist,No,8,2,2,5130,No,1,10,3,10,7,7,Kevin,Braun
3,37,Male,Research & Development,Laboratory Technician,Yes,2,1,2,2090,Yes,0,7,3,0,0,0,Erik,Kuphal
4,33,Female,Research & Development,Research Scientist,No,3,1,3,2909,Yes,0,8,3,8,7,0,Jewell,Nader
5,27,Male,Research & Development,Laboratory Technician,No,2,1,3,3468,No,1,6,3,2,2,2,Kip,Stamm
6,32,Male,Research & Development,Laboratory Technician,No,2,1,3,3068,No,0,8,2,7,7,6,Arturo,Quigley
7,59,Female,Research & Development,Laboratory Technician,No,3,1,4,2670,Yes,3,12,3,1,0,0,Yvette,Gibson
8,30,Male,Research & Development,Laboratory Technician,No,24,1,3,2693,No,1,1,2,1,0,0,Emilio,Jacobs
9,38,Male,Research & Development,Manufacturing Director,No,23,3,2,9526,No,0,10,2,9,7,8,Joey,Altenwerth
10,36,Male,Research & Development,Healthcare Representative,No,27,2,3,5237,No,2,17,3,7,7,7,Maximus,Dare
11,35,Male,Research & Development,Laboratory Technician,No,16,1,4,2426,No,1,6,5,5,4,3,Saige,Runolfsdottir
12,29,Female,Research & Development,Laboratory Technician,No,15,2,2,4193,Yes,0,10,3,9,5,8,Myrna,Brakus
13,31,Male,Research & Development,Research Scientist,No,26,1,3,2911,No,1,5,1,5,2,3,Ernie,Ziemann
14,34,Male,Research & Development,Laboratory Technician,No,19,1,3,2661,No,1,3,2,2,2,2,Mekhi,Crona
15,28,Male,Research & Development,Laboratory Technician,Yes,24,1,2,2028,Yes,0,6,4,4,2,3,Elroy,Bailey
16,29,Female,Research & Development,Manufacturing Director,No,21,3,4,9980,No,1,10,1,10,9,8,Shaina,Mann
17,32,Male,Research & Development,Research Scientist,No,5,1,4,3298,Yes,2,7,5,6,2,5,Kip,Jacobson
18,22,Male,Research & Development,Laboratory Technician,No,16,1,4,2935,Yes,2,1,2,1,0,0,Favian,Ferry
19,53,Female,Sales,Manager,No,2,4,2,15427,No,0,31,3,25,8,7,Alta,Hyatt
20,38,Male,Research & Development,Research Scientist,No,2,1,3,3944,Yes,0,6,3,3,2,2,Quinten,Kovacek
21,24,Female,Research & Development,Manufacturing Director,No,11,2,4,4011,No,1,5,5,4,2,3,Ena,Kunde
22,36,Male,Sales,Sales Representative,Yes,9,1,2,3407,No,0,10,4,5,3,3,Brennon,Heathcote
23,34,Female,Research & Development,Research Director,No,7,3,3,11994,No,0,13,4,12,6,11,Adah,Heidenreich
24,21,Male,Research & Development,Research Scientist,No,15,1,3,1232,No,0,0,6,0,0,0,Norris,Beatty
